name,energy,fat,carbohydrates,sugar,fibers,protein,salt
Escalope_(average_of_beef_veal_pork_poul  y)_breaded_fried,233,10.8,10.1,0.5,0.6,23.5,0.8
Escalope_(average_of_beef_veal_pork_poul  y)_pan_fried_(without_addition_of_fat_and_salt),145,3.1,0.1,0,0,29.2,0.2
Escalope_(average_of_beef_veal_pork_poul  y)_raw,113,2.7,0.1,0,0,22.2,0.1
Espresso_with_coffee_cream_no_sugar_added,28,2.5,0.8,0.7,0.1,0.5,0
Eurasian_perch_raw,79,0.7,0,0,0,18,0.2
Ewe's_milk,105,7.1,4.7,4.7,0,5.5,0.1
Falafel_(deep_fried_in_HOLL_rapeseed_oil),222,7.9,26.2,1.9,6.4,8.3,0.7
Farmers'_bread,241,2,44.3,2.4,4.4,9.2,1.8
Fennel_raw,23,0.3,2.3,0.1,3.3,1.1,0
Fennel_steamed_(without_addition_of_salt),22,0.3,2.2,0.1,3.1,1,0
Fermented_dough,199,0.9,38.3,0.3,3,7.8,1.2
Feta_cow_milk,256,20.7,1.4,1.4,0,16,3.7
Feta_ewe-/goat_milk,242,18.8,1.5,0,0,16.7,3.3
Fig_dried,267,1.2,55.9,55.9,10,3.1,0.3
Fig_fresh,71,0.5,13.5,12.2,4.1,1.2,0
Fish_(average)_filet_steamed_(without_addition_of_fat_and_salt),146,7.5,0,0,0,19.6,0.2
Fish_(average)_raw_,146,6.9,0,0,0,20.9,0.2
Fish_fingers_(sticks)_breaded_and_pre_deep_fried,230,11.7,15.3,0.1,0.8,15.5,0.6
Fish_fingers/sticks_(breaded_and_pre_deep_fried)_fried_in_HOLL_rapeseed_oil,300,18.6,16.6,0.1,0.9,16,0.6
Fish_fingers/sticks_(breaded_and_pre_deep_fried)_oven_baked_(without_addition_of_fat),248,12.2,17.4,0.1,1,16.8,0.6
Fish_product_anchovy_in_oil_drained,182,8.5,0.2,0.1,0,26.4,12
Fish_product_sardine_in_oil_drained,215,13.7,0,0,0,23,1.2
Fish_hake_raw,71,0.3,0,0,0,17,0.2
Fish_plaice_raw,86,1.9,0,0,0,17.1,0.3
Fish_pollock_raw,80,0.3,0,0,0,19.3,0.1
Fish_sardine_raw,163,9,0,0,0,20.4,0.3
Fish_sole_raw,85,1.1,0,0,0,18.7,0.3
Fish_tuna_raw,149,6.2,0,0,0,23.4,0.1
Fishburger,262,11.5,26.7,3.9,1.5,12.2,1.1
Flat_white_(little_milk)_no_sugar_added,16,0.9,1.2,1,0.1,0.7,0
Flat_white_(much_milk)_no_sugar_added,22,1.2,1.6,1.4,0.1,1,0
Flat_white_no_sugar_added,19,1.1,1.4,1.3,0.1,0.9,0
Flaxseed_oil_cold_pressed,810,90,0,0,0,0,0
Flounder_filet_steamed_(without_addition_of_fat_and_Salt),69,0.8,0,0,0,15.5,0.4
Flounder_raw,72,0.7,0,0,0,16.5,0.4
Flour_(average),343,1.4,67.8,0.4,4.7,12.4,0
Flour_omelette_filled_with_mushrooms_prepared,125,6.2,10.8,1.2,1.5,5.7,0.6
